Image32_Cell1 ,Image32_Cell2 ,Image32_Cell3,Image32_Cell4,Image32_Cell5,Image32_Cell6,Image32_Cell7,Image32_Cell8,Image32_Cell9,Image32_Cell10,Image32_Cell11,Image32_Cell12,Image32_Cell13,Image32_Cell14,Image32_Cell15
0.1536,0.1702,0.142,0.1537,0.1592,0.1383,0.1612,0.1588,0.1841,0.1792,0.1775,0.1722,0.172,0.1518,0.1714
0.1549,0.1722,0.143,0.157,0.1628,0.143,0.1627,0.1588,0.186,0.1801,0.1807,0.1716,0.1718,0.1532,0.1739
0.1543,0.1704,0.1425,0.1534,0.1599,0.1419,0.1617,0.1591,0.186,0.1781,0.1792,0.1723,0.1701,0.152,0.1709
0.155,0.1699,0.1421,0.1547,0.1575,0.1425,0.1632,0.1591,0.1876,0.1781,0.1808,0.1721,0.1728,0.1529,0.1731
0.1554,0.17,0.1429,0.1558,0.1596,0.1417,0.1625,0.1608,0.1869,0.1802,0.1837,0.1724,0.1732,0.1535,0.172
0.1547,0.1703,0.1441,0.1559,0.1548,0.1388,0.1612,0.161,0.1847,0.1793,0.1809,0.1721,0.1714,0.1534,0.1726
0.1562,0.1731,0.1437,0.1572,0.1594,0.1433,0.1645,0.161,0.1876,0.1795,0.1819,0.1723,0.173,0.1552,0.1719
0.1561,0.1755,0.1423,0.1561,0.1625,0.1429,0.1634,0.162,0.1855,0.179,0.1811,0.1721,0.1736,0.1553,0.1705
0.1535,0.1722,0.1419,0.1548,0.1639,0.14,0.1612,0.1622,0.1861,0.1797,0.1806,0.1725,0.173,0.1542,0.1697
0.155,0.1739,0.1426,0.1572,0.1633,0.1415,0.1628,0.1625,0.1859,0.1802,0.1831,0.1725,0.173,0.1551,0.1711
0.1557,0.1743,0.1445,0.1528,0.1643,0.1403,0.16,0.1611,0.1845,0.1796,0.1792,0.1723,0.1746,0.1557,0.1714
0.1551,0.1727,0.1435,0.1555,0.167,0.1426,0.1607,0.1621,0.1875,0.18,0.1811,0.1745,0.1749,0.1543,0.1716
0.1566,0.1732,0.1442,0.1564,0.1633,0.1417,0.1625,0.163,0.187,0.1783,0.183,0.1739,0.1725,0.1574,0.1733
0.1571,0.1724,0.1421,0.1548,0.1649,0.1421,0.1638,0.1639,0.1855,0.1814,0.1809,0.1745,0.1744,0.1544,0.1698
0.158,0.176,0.1438,0.1583,0.1631,0.1456,0.162,0.1612,0.1887,0.1807,0.1815,0.174,0.1745,0.1555,0.1736
0.1579,0.1748,0.1428,0.1534,0.1641,0.1437,0.1622,0.1625,0.1869,0.1812,0.1815,0.1735,0.1748,0.1548,0.1753
0.1596,0.1767,0.1451,0.1565,0.1639,0.1459,0.1622,0.1629,0.1914,0.1822,0.1811,0.1718,0.176,0.1576,0.1735
0.1584,0.1785,0.1456,0.1583,0.1643,0.1434,0.1623,0.1646,0.1897,0.1833,0.1815,0.174,0.1769,0.1567,0.1736
0.1583,0.1879,0.1422,0.1579,0.1631,0.1448,0.1652,0.1643,0.188,0.1808,0.1835,0.1704,0.1785,0.1544,0.1751
0.1593,0.1839,0.1438,0.158,0.1612,0.1443,0.1638,0.1653,0.1916,0.1805,0.1817,0.1719,0.1763,0.1581,0.1755
0.1597,0.1798,0.1449,0.1579,0.1643,0.1444,0.1663,0.166,0.1902,0.1836,0.1835,0.1729,0.1801,0.1551,0.1763
0.1597,0.1745,0.1456,0.1582,0.1649,0.1449,0.1636,0.1671,0.1893,0.1831,0.1843,0.174,0.1795,0.1572,0.1766
