"","diff","lwr","upr","p adj"
"HET:BaseOsc-No Cre:BaseOsc",0.00274694377629991,-0.324820185196259,0.330314072748859,1
"KO:BaseOsc-No Cre:BaseOsc",0.0016922891863107,-0.334981639254547,0.338366217627168,1
"No Cre:BasePeaks-No Cre:BaseOsc",0.722202350900049,0.350994753690997,1.0934099481091,4.08023725917417e-10
"HET:BasePeaks-No Cre:BaseOsc",0.966405553429747,0.638838424457187,1.29397268240231,2.39808173319034e-13
"KO:BasePeaks-No Cre:BaseOsc",0.770202845295949,0.433528916855092,1.10687677373681,2.79554157600614e-13
"No Cre:GlucOsc-No Cre:BaseOsc",0.144622190168035,-0.226585407041017,0.515829787377087,0.999428493095857
"HET:GlucOsc-No Cre:BaseOsc",0.133864468225557,-0.193702660747003,0.461431597198116,0.998808718964455
"KO:GlucOsc-No Cre:BaseOsc",0.149812380081125,-0.186861548359733,0.486486308521982,0.995920101376445
"No Cre:GlucPeaks-No Cre:BaseOsc",11.3313268885065,10.9601192912974,11.7025344857155,0
"HET:GlucPeaks-No Cre:BaseOsc",12.9258557252557,12.5982885962832,13.2534228542283,0
"KO:GlucPeaks-No Cre:BaseOsc",11.8919212223909,11.55524729395,12.2285951508317,0
"No Cre:GlucResp-No Cre:BaseOsc",0.45658146613056,0.0853738689215084,0.827789063339612,0.00186765775372988
"HET:GlucResp-No Cre:BaseOsc",0.63721171959272,0.309644590620161,0.96477884856528,4.10842471154638e-10
"KO:GlucResp-No Cre:BaseOsc",0.472046096491944,0.135372168051086,0.808720024932801,8.97050358358298e-05
"No Cre:KClOsc-No Cre:BaseOsc",0.0841362014770684,-0.287071395731984,0.45534379868612,0.999999972176147
"HET:KClOsc-No Cre:BaseOsc",0.0751768463010287,-0.25239028267153,0.402743975273588,0.999999964172731
"KO:KClOsc-No Cre:BaseOsc",0.0894161994590128,-0.247257728981845,0.42609012789987,0.999999353273221
"No Cre:KClPeaks-No Cre:BaseOsc",2.56190641995164,2.19069882274258,2.93311401716069,0
"HET:KClPeaks-No Cre:BaseOsc",2.48942960841288,2.16186247944032,2.81699673738544,0
"KO:KClPeaks-No Cre:BaseOsc",2.67473745150171,2.33806352306086,3.01141137994257,0
"No Cre:KClResp-No Cre:BaseOsc",1.25625464779852,0.885047050589465,1.62746224500757,0
"HET:KClResp-No Cre:BaseOsc",1.26084416185861,0.93327703288605,1.58841129083117,0
"KO:KClResp-No Cre:BaseOsc",1.24750227400584,0.910828345564981,1.5841762024467,0
"KO:BaseOsc-HET:BaseOsc",-0.00105465458998921,-0.288899192230374,0.286789883050396,1
"No Cre:BasePeaks-HET:BaseOsc",0.719455407123749,0.39188827815119,1.04702253609631,6.95665747230123e-13
"HET:BasePeaks-HET:BaseOsc",0.963658609653447,0.686520796028289,1.2407964232786,0
"KO:BasePeaks-HET:BaseOsc",0.767455901519649,0.479611363879264,1.05530043916003,2.87436741075453e-13
"No Cre:GlucOsc-HET:BaseOsc",0.141875246391735,-0.185691882580824,0.469442375364294,0.997207957499238
"HET:GlucOsc-HET:BaseOsc",0.131117524449257,-0.146020289175901,0.408255338074414,0.990742207975294
"KO:GlucOsc-HET:BaseOsc",0.147065436304825,-0.14077910133556,0.43490997394521,0.976278741439876
